Vessel Name,Operator,Service,Phase,ETA,ETD,Previous port,Next port,actual_A,actual_D
CMA CGM BRAZIL,CMA CGM,NEFGUI,INBOUND,21/12/2019 04:00,21/12/2019 15:00,Le Havre,Rotterdam,22/12/2019 04:07,22/12/2019 17:30
APL CHONGQING,CMA CGM,EPIC,INBOUND,21/12/2019 12:00,22/12/2019 05:00,Le Havre,Hamburg,21/12/2019 13:30,22/12/2019 16:40
MSC MONICA,MSC,BL11,INBOUND,22/12/2019 18:00,23/12/2019 06:00,Liverpool,Antwerp,23/12/2019 15:27,23/12/2019 21:05
MSC MAUREEN,MSC,NWC,INBOUND,19/12/2019 04:00,19/12/2019 17:00,El Dekheila,Rotterdam,19/12/2019 05:15,19/12/2019 19:10
ANDES,HAPAG LLOYD,AD HOC,INBOUND,19/12/2019 20:00,20/12/2019 10:00,Santa Marta,Antwerp,26/12/2019 06:23,27/12/2019 04:06
BERLIN BRIDGE,Ocean Network Express,AL2,INBOUND,21/12/2019 04:00,21/12/2019 12:00,Hamburg,Le Havre,22/12/2019 11:59,23/12/2019 04:00
ER SWEDEN,China Ocean Steamship Company,IEX,INBOUND,21/12/2019 17:00,22/12/2019 10:00,Rotterdam,London Gateway Port,22/12/2019 19:34,23/12/2019 18:06
CHACABUCO,HAPAG LLOYD,AL2,INBOUND,22/12/2019 04:00,22/12/2019 22:00,Hamburg,Le Havre,21/12/2019 16:20,22/12/2019 11:10
NORTHERN JADE,MSC,LEV,INBOUND,26/12/2019 07:00,26/12/2019 23:00,Gent (Ghent),Antwerp,27/12/2019 04:00,27/12/2019 18:15
MSC MARGARITA,MSC,WAF,INBOUND,26/12/2019 16:00,27/12/2019 04:00,Cotonou,Rotterdam,28/12/2019 23:10,29/12/2019 12:50
UASC ZAMZAM,HAPAG LLOYD,SAEC2,INBOUND,27/12/2019 18:00,28/12/2019 06:00,Bremerhaven,Hamburg,30/12/2019 01:28,30/12/2019 18:28
